epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.728,0.80009,1.5448,1.43825,0.84774,0.76667,0.85449,0.49585,1.25617,2.86035,2.3282,0.00065,0.00065,0.00065
2,463.89,0.75211,0.9695,1.37695,0.80739,0.8,0.81598,0.48193,1.32062,2.20477,2.24367,0.0012906,0.0012906,0.0012906
3,691.086,0.79211,0.86415,1.41835,0.16375,0.23333,0.07637,0.02432,2.49132,3.98432,3.33111,0.00190479,0.00190479,0.00190479
4,911.215,0.76675,0.79885,1.38166,0.58583,0.58333,0.59227,0.27299,1.8416,2.80458,2.52268,0.0018812,0.0018812,0.0018812
5,1141.98,0.7446,0.69845,1.36257,0.84392,0.43333,0.49382,0.28293,2.02678,2.49238,2.7198,0.0018416,0.0018416,0.0018416
6,1371.84,0.75722,0.69417,1.37814,0.25556,0.36667,0.16926,0.05433,2.62633,2.53197,2.93692,0.001802,0.001802,0.001802
7,1568.57,0.75486,0.66104,1.36631,0.48549,0.48333,0.37143,0.20695,1.94069,1.96535,2.47096,0.0017624,0.0017624,0.0017624
8,1794.13,0.73674,0.59168,1.35153,0.98329,0.98066,0.99266,0.69259,1.04211,0.68529,2.07092,0.0017228,0.0017228,0.0017228
9,2017.81,0.68217,0.56441,1.33578,0.96232,1,0.99401,0.75453,0.88089,0.73196,1.75652,0.0016832,0.0016832,0.0016832
10,2244.64,0.70959,0.55687,1.33409,0.94969,0.94385,0.97683,0.64036,1.18743,0.87994,2.08291,0.0016436,0.0016436,0.0016436
11,2461.41,0.68037,0.5173,1.31115,0.98337,0.98575,0.99484,0.81959,0.71026,0.53382,1.594,0.001604,0.001604,0.001604
12,2685.18,0.65465,0.49479,1.29716,0.96108,0.98333,0.98055,0.75364,0.97857,0.77183,1.80321,0.0015644,0.0015644,0.0015644
13,2894.41,0.64209,0.50196,1.28937,0.93389,1,0.97694,0.746,0.8253,0.65665,1.58778,0.0015248,0.0015248,0.0015248
14,3114.41,0.61406,0.47438,1.26395,0.9836,0.99963,0.99451,0.81378,0.73853,0.5107,1.5171,0.0014852,0.0014852,0.0014852
15,3337.2,0.61341,0.45997,1.25866,0.9984,0.98333,0.99468,0.79104,0.80387,0.46518,1.68809,0.0014456,0.0014456,0.0014456
16,3558.16,0.64769,0.472,1.28772,1,0.98075,0.99452,0.79923,0.75038,0.49829,1.48623,0.001406,0.001406,0.001406
17,3783.46,0.61543,0.44844,1.26863,0.99869,1,0.995,0.79275,0.84808,0.46939,1.60207,0.0013664,0.0013664,0.0013664
18,4012.14,0.61022,0.45082,1.27303,0.99901,1,0.995,0.84467,0.67791,0.40961,1.42647,0.0013268,0.0013268,0.0013268
19,4234.31,0.58476,0.42439,1.2425,0.99629,1,0.995,0.7736,0.83995,0.4828,1.69194,0.0012872,0.0012872,0.0012872
